epic_id,name,description,project_id,project_name,effort,priority,status,team_id,team_name,start_date,end_date
epic-001,Loan Application Portal,Customer-facing loan application system,proj-001,Digital Mortgage Platform,55,high,active,team-007,Mortgage Origination,2024-01-01,2024-06-30
epic-002,Document Processing,Automated document verification and processing,proj-001,Digital Mortgage Platform,42,high,active,team-008,Personal Loans Platform,2024-02-01,2024-05-31
epic-003,Loan Account Management,Loan account management and servicing system,proj-001,Digital Mortgage Platform,38,medium,active,team-010,Loan Servicing,2024-03-01,2024-07-31
epic-004,Debt Management System,Automated debt management and collections,proj-001,Digital Mortgage Platform,45,high,active,team-011,Collections & Recovery,2024-04-01,2024-08-31
epic-005,Underwriting Automation,Automated underwriting workflows and decisions,proj-001,Digital Mortgage Platform,52,high,active,team-012,Mortgage Underwriting,2024-05-01,2024-09-30
epic-006,Payment Integration Platform,Core payment processing integration,proj-002,Payment Integration Platform,48,high,active,team-008,Personal Loans Platform,2024-02-01,2024-07-31
epic-007,Payment Processing,Advanced loan payment processing capabilities,proj-002,Payment Integration Platform,44,high,active,team-010,Loan Servicing,2024-03-01,2024-08-31
epic-008,Integration Testing,End-to-end payment integration testing,proj-002,Payment Integration Platform,35,medium,planning,team-010,Loan Servicing,2024-06-01,2024-10-31
epic-009,Mobile Authentication,Biometric and multi-factor authentication,proj-003,Mobile Banking 2.0,42,high,active,team-009,Credit Assessment Engine,2024-01-15,2024-06-30
epic-010,Mobile App Integration,Mobile app loan and banking features,proj-003,Mobile Banking 2.0,46,high,active,team-007,Mortgage Origination,2024-04-01,2024-09-30
epic-011,Risk Analytics Dashboard,Credit risk analytics and monitoring,proj-004,Analytics Dashboard,40,high,active,team-009,Credit Assessment Engine,2024-01-01,2024-05-31
epic-012,Credit Scoring Engine,Advanced credit scoring algorithms,proj-004,Analytics Dashboard,48,high,active,team-009,Credit Assessment Engine,2024-03-01,2024-07-31
epic-013,Collections Analytics,Collections performance analytics platform,proj-004,Analytics Dashboard,38,medium,active,team-011,Collections & Recovery,2024-02-01,2024-06-30
epic-014,Risk Assessment Engine,Advanced risk assessment tools,proj-004,Analytics Dashboard,42,high,active,team-012,Mortgage Underwriting,2024-04-01,2024-08-31
epic-015,Machine Learning Models,ML models for credit and risk assessment,proj-004,Analytics Dashboard,52,high,active,team-009,Credit Assessment Engine,2024-05-01,2024-09-30
epic-016,Service Analytics,Loan servicing analytics and insights,proj-004,Analytics Dashboard,36,medium,active,team-010,Loan Servicing,2024-03-01,2024-08-31
epic-017,Predictive Analytics,Predictive collections and risk analytics,proj-004,Analytics Dashboard,45,high,active,team-011,Collections & Recovery,2024-06-01,2024-09-30
epic-018,Real-time Scoring,Real-time credit scoring capabilities,proj-004,Analytics Dashboard,40,high,planning,team-009,Credit Assessment Engine,2024-07-01,2024-10-31
epic-019,Risk Model Validation,Risk model validation and testing,proj-004,Analytics Dashboard,38,medium,planning,team-009,Credit Assessment Engine,2024-08-01,2024-11-30
