Team Name,Epic Name,Epic Type,Sprint Number,Percentage,Quarter
"Mortgage Origination","User Authentication","Project",1,60,"Q1 2024"
"Mortgage Origination","Support Tickets","Run Work",1,40,"Q1 2024"
"Mortgage Origination","Loan Application","Project",2,70,"Q1 2024"
"Mortgage Origination","Support Tickets","Run Work",2,30,"Q1 2024"
"Mortgage Origination","Loan Application","Project",3,70,"Q1 2024"
"Mortgage Origination","Support Tickets","Run Work",3,30,"Q1 2024"
"Mortgage Origination","Loan Application","Project",4,70,"Q1 2024"
"Mortgage Origination","Support Tickets","Run Work",4,30,"Q1 2024"
"Mortgage Origination","Loan Application","Project",5,70,"Q1 2024"
"Mortgage Origination","Support Tickets","Run Work",5,30,"Q1 2024"
"Mortgage Origination","Loan Application","Project",6,70,"Q1 2024"
"Mortgage Origination","Support Tickets","Run Work",6,30,"Q1 2024"
"Personal Loans Platform","Payments Integration","Project",1,60,"Q1 2024"
"Personal Loans Platform","Support Tickets","Run Work",1,40,"Q1 2024"
"Personal Loans Platform","Payments Integration","Project",2,60,"Q1 2024"
"Personal Loans Platform","Support Tickets","Run Work",2,40,"Q1 2024"
"Personal Loans Platform","Payments Integration","Project",3,60,"Q1 2024"
"Personal Loans Platform","Support Tickets","Run Work",3,40,"Q1 2024"
"Personal Loans Platform","Payments Integration","Project",4,60,"Q1 2024"
"Personal Loans Platform","Support Tickets","Run Work",4,40,"Q1 2024"
"Personal Loans Platform","Payments Integration","Project",5,60,"Q1 2024"
"Personal Loans Platform","Support Tickets","Run Work",5,40,"Q1 2024"
"Personal Loans Platform","Payments Integration","Project",6,60,"Q1 2024"
"Personal Loans Platform","Support Tickets","Run Work",6,40,"Q1 2024"
"Credit Assessment Engine","Credit Scoring","Project",1,80,"Q1 2024"
"Credit Assessment Engine","Support Tickets","Run Work",1,20,"Q1 2024"
"Credit Assessment Engine","Credit Scoring","Project",2,80,"Q1 2024"
"Credit Assessment Engine","Support Tickets","Run Work",2,20,"Q1 2024"
"Credit Assessment Engine","Credit Scoring","Project",3,80,"Q1 2024"
"Credit Assessment Engine","Support Tickets","Run Work",3,20,"Q1 2024"
"Credit Assessment Engine","Credit Scoring","Project",4,80,"Q1 2024"
"Credit Assessment Engine","Support Tickets","Run Work",4,20,"Q1 2024"
"Credit Assessment Engine","Credit Scoring","Project",5,80,"Q1 2024"
"Credit Assessment Engine","Support Tickets","Run Work",5,20,"Q1 2024"
"Credit Assessment Engine","Credit Scoring","Project",6,80,"Q1 2024"
"Credit Assessment Engine","Support Tickets","Run Work",6,20,"Q1 2024"
"Commercial Lending Platform","Commercial API","Project",1,70,"Q1 2024"
"Commercial Lending Platform","Support Tickets","Run Work",1,30,"Q1 2024"
"Commercial Lending Platform","Commercial API","Project",2,70,"Q1 2024"
"Commercial Lending Platform","Support Tickets","Run Work",2,30,"Q1 2024"
"Commercial Lending Platform","Commercial API","Project",3,70,"Q1 2024"
"Commercial Lending Platform","Support Tickets","Run Work",3,30,"Q1 2024"
"Commercial Lending Platform","Commercial API","Project",4,70,"Q1 2024"
"Commercial Lending Platform","Support Tickets","Run Work",4,30,"Q1 2024"
"Commercial Lending Platform","Commercial API","Project",5,70,"Q1 2024"
"Commercial Lending Platform","Support Tickets","Run Work",5,30,"Q1 2024"
"Commercial Lending Platform","Commercial API","Project",6,70,"Q1 2024"
"Commercial Lending Platform","Support Tickets","Run Work",6,30,"Q1 2024"
"Credit Card Platform","Rewards Engine","Project",1,75,"Q1 2024"
"Credit Card Platform","Support Tickets","Run Work",1,25,"Q1 2024"
"Credit Card Platform","Rewards Engine","Project",2,75,"Q1 2024"
"Credit Card Platform","Support Tickets","Run Work",2,25,"Q1 2024"
"Credit Card Platform","Rewards Engine","Project",3,75,"Q1 2024"
"Credit Card Platform","Support Tickets","Run Work",3,25,"Q1 2024"
"Credit Card Platform","Rewards Engine","Project",4,75,"Q1 2024"
"Credit Card Platform","Support Tickets","Run Work",4,25,"Q1 2024"
"Credit Card Platform","Rewards Engine","Project",5,75,"Q1 2024"
"Credit Card Platform","Support Tickets","Run Work",5,25,"Q1 2024"
"Credit Card Platform","Rewards Engine","Project",6,75,"Q1 2024"
"Credit Card Platform","Support Tickets","Run Work",6,25,"Q1 2024"
"Digital Banking Platform","Mobile Payments","Project",1,65,"Q1 2024"
"Digital Banking Platform","Support Tickets","Run Work",1,35,"Q1 2024"
"Digital Banking Platform","Mobile Payments","Project",2,65,"Q1 2024"
"Digital Banking Platform","Support Tickets","Run Work",2,35,"Q1 2024"
"Digital Banking Platform","Mobile Payments","Project",3,65,"Q1 2024"
"Digital Banking Platform","Support Tickets","Run Work",3,35,"Q1 2024"
"Digital Banking Platform","Mobile Payments","Project",4,65,"Q1 2024"
"Digital Banking Platform","Support Tickets","Run Work",4,35,"Q1 2024"
"Digital Banking Platform","Mobile Payments","Project",5,65,"Q1 2024"
"Digital Banking Platform","Support Tickets","Run Work",5,35,"Q1 2024"
"Digital Banking Platform","Mobile Payments","Project",6,65,"Q1 2024"
"Digital Banking Platform","Support Tickets","Run Work",6,35,"Q1 2024" 
