Type,Name,Description,Domain,Group,Status,Start Date,End Date,Priority,Budget,Owner,Epic Key,JIRA Link,Epic Title,Epic Type,Epic Status,T-Shirt Size,Epic Size (Sprints),Story Points,Project Name,Team Name,Milestone Name,Target Date
Project,Digital Mortgage Platform,Comprehensive digital platform for mortgage origination and management,Product,Engineering Excellence,Active,2024-01-01,2024-12-31,High,2500000,Product Manager,,,,,,,,,,,
Project,Payment Integration Platform,Modern payment processing and integration system,Infrastructure,Business & Specialised Lending,Active,2024-01-01,2024-12-31,High,1800000,Platform Manager,,,,,,,,,,,
Project,API Gateway Optimization,Performance and security improvements for API gateway,Infrastructure,Engineering Excellence,Active,2024-01-01,2024-12-31,Medium,1200000,Architecture Lead,,,,,,,,,,,
Project,Database Performance Monitoring,Real-time monitoring and alerting for database performance,Data,Engineering Excellence,Active,2024-01-01,2024-12-31,High,800000,Data Engineer,,,,,,,,,,,
Project,Push Notification System,Cross-platform push notification infrastructure,Product,Product Experience,Active,2024-01-01,2024-12-31,Medium,600000,Product Manager,,,,,,,,,,,
Project,Security Framework Enhancement,Enhanced security framework and compliance tools,Infrastructure,Data Insights,Active,2024-01-01,2024-12-31,High,1500000,Security Lead,,,,,,,,,,,
Project,Load Balancer Configuration,Advanced load balancing and traffic management,Infrastructure,Engineering Excellence,Active,2024-01-01,2024-12-31,Medium,900000,Platform Engineer,,,,,,,,,,,
Project,Code Refactoring Initiative,Legacy code modernization and technical debt reduction,Product,Business & Specialised Lending,Active,2024-01-01,2024-12-31,Medium,700000,Engineering Lead,,,,,,,,,,,
Project,Analytics Dashboard,Comprehensive analytics and reporting dashboard,Data,Product Experience,Active,2024-01-01,2024-12-31,High,1100000,Data Analyst,,,,,,,,,,,
Project,Microservices Architecture,Modern microservices architecture implementation,Infrastructure,Engineering Excellence,Active,2024-01-01,2024-12-31,High,2000000,Architecture Lead,,,,,,,,,,,
Project,Monitoring System Setup,Comprehensive monitoring and observability platform,Infrastructure,Business & Specialised Lending,Active,2024-01-01,2024-12-31,High,1300000,DevOps Lead,,,,,,,,,,,
Project,Mobile App Redesign,Complete mobile application redesign and modernization,Product,Business & Specialised Lending,Active,2024-01-01,2024-12-31,High,1600000,UX Lead,,,,,,,,,,,
Project,Data Pipeline Optimization,Optimized data processing and ETL pipelines,Data,Product Experience,Active,2024-01-01,2024-12-31,Medium,1000000,Data Engineer,,,,,,,,,,,
Project,Legacy System Migration,Migration from legacy systems to modern architecture,Infrastructure,Product Experience,Active,2024-01-01,2024-12-31,High,2200000,Platform Manager,,,,,,,,,,,
Project,E-commerce Platform,Complete e-commerce solution for business customers,Product,Business & Specialised Lending,Active,2024-01-01,2024-12-31,High,2800000,Product Manager,,,,,,,,,,,
Project,Cloud Infrastructure Migration,Migration to cloud-native infrastructure,Infrastructure,Data Insights,Active,2024-01-01,2024-12-31,High,2500000,Cloud Architect,,,,,,,,,,,
Project,Backup System Enhancement,Enhanced backup and disaster recovery systems,Infrastructure,Data Insights,Active,2024-01-01,2024-12-31,Medium,800000,Infrastructure Lead,,,,,,,,,,,
Project,Customer Portal,Self-service customer portal and account management,Product,Data Insights,Active,2024-01-01,2024-12-31,High,1400000,Product Manager,,,,,,,,,,,
Project,API Versioning System,Comprehensive API versioning and management system,Infrastructure,Data Insights,Active,2024-01-01,2024-12-31,Medium,900000,API Manager,,,,,,,,,,,
Project,Performance Optimization,Cross-platform performance optimization initiative,Product,Engineering Excellence,Active,2024-01-01,2024-12-31,Medium,600000,Performance Engineer,,,,,,,,,,,
Epic,User Authentication System,EPIC-101,https://blah.com/browse/EPIC-101,Q4 2024 - User Authentication System,Feature,In Progress,Large,3,21,Digital Mortgage Platform,Frontend Team,Product,Engineering Excellence,,,,,,
Epic,Payment Integration Platform,EPIC-102,https://blah.com/browse/EPIC-102,Q4 2024 - Payment Integration Platform,Platform,Completed,Medium,2,34,Payment Integration Platform,Backend Team,Infrastructure,Business & Specialised Lending,,,,,,
Epic,API Gateway Optimization,EPIC-103,https://blah.com/browse/EPIC-103,Q4 2024 - API Gateway Optimization,Tech Debt,Backlog,X-Large,4,55,API Gateway Optimization,Platform Team,Infrastructure,Engineering Excellence,,,,,,
Epic,Database Performance Monitoring,EPIC-104,https://blah.com/browse/EPIC-104,Q4 2024 - Database Performance Monitoring,Critical Run,In Progress,Large,2,42,Database Performance Monitoring,Data Team,Data,Engineering Excellence,,,,,,
Epic,Push Notification System,EPIC-105,https://blah.com/browse/EPIC-105,Q4 2024 - Push Notification System,Feature,Completed,Small,1,13,Push Notification System,Frontend Team,Product,Product Experience,,,,,,
Epic,Security Framework Enhancement,EPIC-106,https://blah.com/browse/EPIC-106,Q4 2024 - Security Framework Enhancement,Platform,Backlog,Medium,3,25,Security Framework Enhancement,Backend Team,Infrastructure,Data Insights,,,,,,
Epic,Load Balancer Configuration,EPIC-107,https://blah.com/browse/EPIC-107,Q4 2024 - Load Balancer Configuration,Critical Run,In Progress,Medium,2,18,Load Balancer Configuration,Platform Team,Infrastructure,Engineering Excellence,,,,,,
Epic,Code Refactoring Initiative,EPIC-108,https://blah.com/browse/EPIC-108,Q4 2024 - Code Refactoring Initiative,Tech Debt,In Progress,Medium,1,8,Code Refactoring Initiative,Frontend Team,Product,Business & Specialised Lending,,,,,,
Epic,Analytics Dashboard,EPIC-109,https://blah.com/browse/EPIC-109,Q4 2024 - Analytics Dashboard,Feature,Backlog,X-Large,5,67,Analytics Dashboard,Data Team,Data,Product Experience,,,,,,
Epic,Microservices Architecture,EPIC-110,https://blah.com/browse/EPIC-110,Q4 2024 - Microservices Architecture,Platform,Completed,X-Large,4,89,Microservices Architecture,Backend Team,Infrastructure,Engineering Excellence,,,,,,
Epic,Monitoring System Setup,EPIC-111,https://blah.com/browse/EPIC-111,Q4 2024 - Monitoring System Setup,Critical Run,Completed,Small,1,12,Monitoring System Setup,Platform Team,Infrastructure,Business & Specialised Lending,,,,,,
Epic,Mobile App Redesign,EPIC-112,https://blah.com/browse/EPIC-112,Q4 2024 - Mobile App Redesign,Feature,Completed,Large,3,45,Mobile App Redesign,Frontend Team,Product,Business & Specialised Lending,,,,,,
Epic,Data Pipeline Optimization,EPIC-113,https://blah.com/browse/EPIC-113,Q4 2024 - Data Pipeline Optimization,Platform,Completed,X-Large,2,34,Data Pipeline Optimization,Data Team,Data,Product Experience,,,,,,
Epic,Legacy System Migration,EPIC-114,https://blah.com/browse/EPIC-114,Q4 2024 - Legacy System Migration,Tech Debt,In Progress,Large,4,78,Legacy System Migration,Backend Team,Infrastructure,Product Experience,,,,,,
Epic,E-commerce Platform,EPIC-115,https://blah.com/browse/EPIC-115,Q4 2024 - E-commerce Platform,Feature,Completed,Medium,2,56,E-commerce Platform,Frontend Team,Product,Business & Specialised Lending,,,,,,
Epic,Cloud Infrastructure Migration,EPIC-116,https://blah.com/browse/EPIC-116,Q4 2024 - Cloud Infrastructure Migration,Platform,In Progress,Large,5,92,Cloud Infrastructure Migration,Platform Team,Infrastructure,Data Insights,,,,,,
