Initiative,Quarter,Epic Key,JIRA Link,Epic Title,Epic Type,Epic Status,T-Shirt Size,Epic Size (Sprints),Epic Size (% of Total),Epic Size A,∑ Story Points,∑ Story Points (% of Total),Milestone,Domain,Group,Squad,Sprint,Iteration
Feature Development,Q4,EPIC-101,https://gojira.westpac.co.nz/browse/EPIC-101,Q1 2024 - User Authentication System,Feature,In Progress,Large,3,0.03,0.03,3.0,21,0.002864583,Q1 2024 S3,Product,Engineering Excellence,Frontend Team,Q1 2024 S3,Iteration 1
Platform Upgrade,Q4,EPIC-102,https://gojira.westpac.co.nz/browse/EPIC-102,Q1 2024 - Payment Integration Platform,Platform,Completed,Medium,2,0.02,0.02,2.0,34,0.016536458,Q1 2024 S3,Infrastructure,Business & Specialised Lending,Backend Team,Q1 2024 S4,Iteration 2
Tech Debt Reduction,Q4,EPIC-103,https://gojira.westpac.co.nz/browse/EPIC-103,Q1 2024 - API Gateway Optimization,Tech Debt,Backlog,X-Large,4,0.04,0.04,4.0,55,0.020182292,Q1 2024 S4,Infrastructure,Engineering Excellence,Platform Team,Q1 2024 S3,Iteration 3
Critical Run,Q4,EPIC-104,https://gojira.westpac.co.nz/browse/EPIC-104,Q1 2024 - Database Performance Monitoring,Critical Run,In Progress,Large,2,0.02,0.02,2.0,42,0.014322917,Q1 2024 S3,Data,Engineering Excellence,Data Team,Q1 2024 S4,Iteration 1
Feature Development,Q4,EPIC-105,https://gojira.westpac.co.nz/browse/EPIC-105,Q1 2024 - Push Notification System,Feature,Completed,Small,1,0.01,0.01,1.0,13,0.016796875,Q1 2024 S1,Product,Product Experience,Frontend Team,Q1 2024 S4,Iteration 2
Platform Upgrade,Q4,EPIC-106,https://gojira.westpac.co.nz/browse/EPIC-106,Q1 2024 - Security Framework Enhancement,Platform,Backlog,Medium,3,0.03,0.03,3.0,25,0.013932292,Q1 2024 S4,Infrastructure,Data Insights,Backend Team,Q1 2024 S3,Iteration 4
Critical Run,Q4,EPIC-107,https://gojira.westpac.co.nz/browse/EPIC-107,Q1 2024 - Load Balancer Configuration,Critical Run,In Progress,Medium,2,0.02,0.02,2.0,18,0.014973958,Q1 2024 S1,Infrastructure,Engineering Excellence,Platform Team,Q1 2024 S4,Iteration 1
Tech Debt Reduction,Q4,EPIC-108,https://gojira.westpac.co.nz/browse/EPIC-108,Q1 2024 - Code Refactoring Initiative,Tech Debt,In Progress,Medium,1,0.01,0.01,1.0,8,0.005338542,Q1 2024 S3,Product,Business & Specialised Lending,Frontend Team,Q1 2024 S4,Iteration 3
Feature Development,Q4,EPIC-109,https://gojira.westpac.co.nz/browse/EPIC-109,Q1 2024 - Analytics Dashboard,Feature,Backlog,X-Large,5,0.05,0.05,5.0,67,0.023307292,Q1 2024 S2,Data,Product Experience,Data Team,Q1 2024 S3,Iteration 2
Platform Upgrade,Q4,EPIC-110,https://gojira.westpac.co.nz/browse/EPIC-110,Q1 2024 - Microservices Architecture,Platform,Completed,X-Large,4,0.04,0.04,4.0,89,0.012239583,Q1 2024 S1,Infrastructure,Engineering Excellence,Backend Team,Q1 2024 S3,Iteration 4
