team_name,quarter,iteration_number,epic_name,project_name,percentage,notes
Mortgage Origination,Q1 2024,1,Loan Application Portal,Digital Lending Platform,45,Core lending functionality development
Mortgage Origination,Q1 2024,1,Critical Run,,35,BAU support and maintenance
Mortgage Origination,Q1 2024,1,Bug Fixes,,20,Production issue resolution
Mortgage Origination,Q1 2024,2,Loan Application Portal,Digital Lending Platform,40,Continued portal development
Mortgage Origination,Q1 2024,2,Mobile Authentication,Mobile Banking 2.0,30,Authentication integration
Mortgage Origination,Q1 2024,2,Critical Run,,30,BAU support and maintenance
Personal Loans Platform,Q1 2024,1,Document Processing,Digital Lending Platform,55,Document automation development
Personal Loans Platform,Q1 2024,1,Production Support,,25,System monitoring and support
Personal Loans Platform,Q1 2024,1,Performance Optimization,,20,System improvements
Personal Loans Platform,Q1 2024,2,Document Processing,Digital Lending Platform,50,Continued development
Personal Loans Platform,Q1 2024,2,Identity Verification,Customer Onboarding,30,Integration work
Personal Loans Platform,Q1 2024,2,Critical Run,,20,BAU activities
Credit Assessment Engine,Q1 2024,1,Credit Decision Engine,Digital Lending Platform,40,AI development
Credit Assessment Engine,Q1 2024,1,Risk Model Development,Credit Risk Engine,35,Risk modeling
Credit Assessment Engine,Q1 2024,1,Compliance & Security,,25,Security reviews
Credit Assessment Engine,Q1 2024,2,Credit Decision Engine,Digital Lending Platform,35,AI refinement
Credit Assessment Engine,Q1 2024,2,Decision API,Credit Risk Engine,35,API development
Credit Assessment Engine,Q1 2024,2,Critical Run,,30,BAU support
Loan Servicing,Q1 2024,1,Loan Servicing Dashboard,Digital Lending Platform,50,Dashboard development
Loan Servicing,Q1 2024,1,Production Support,,30,System support
Loan Servicing,Q1 2024,1,Performance Optimization,,20,System improvements
Loan Servicing,Q1 2024,2,Loan Servicing Dashboard,Digital Lending Platform,45,Dashboard completion
Loan Servicing,Q1 2024,2,Alert Management,Fraud Detection System,25,Integration work
Loan Servicing,Q1 2024,2,Critical Run,,30,BAU activities
Commercial Lending Platform,Q1 2024,1,Data Integration Layer,Credit Risk Engine,45,Commercial risk data
Commercial Lending Platform,Q1 2024,1,Production Support,,30,Platform maintenance
Commercial Lending Platform,Q1 2024,1,Compliance & Security,,25,Security compliance
Commercial Lending Platform,Q1 2024,2,Data Integration Layer,Credit Risk Engine,40,Data completion
Commercial Lending Platform,Q1 2024,2,API Gateway,Open Banking APIs,35,API platform development
Commercial Lending Platform,Q1 2024,2,Critical Run,,25,BAU support
Trade Finance,Q1 2024,1,Letter of Credit System,Trade Finance Platform,60,LC processing development
Trade Finance,Q1 2024,1,Critical Run,,40,Trade finance support
Trade Finance,Q1 2024,2,Letter of Credit System,Trade Finance Platform,55,LC system completion
Trade Finance,Q1 2024,2,Trade Documentation,Trade Finance Platform,25,Documentation system
Trade Finance,Q1 2024,2,Production Support,,20,Trade support
Business Risk Management,Q1 2024,1,Risk Assessment,Trade Finance Platform,45,Trade risk assessment
Business Risk Management,Q1 2024,1,Data Integration Layer,Credit Risk Engine,30,Risk data integration
Business Risk Management,Q1 2024,1,Critical Run,,25,Risk management BAU
Business Risk Management,Q1 2024,2,Risk Assessment,Trade Finance Platform,40,Risk refinement
